Settings:,,
Use KPA,0,
KP,1,
KI,0,
KD,0,
Traj Follow Error Threshold,2.9,
Filter alpha,0,
Sensor offset,0.11,
Pressure Read Delay,15,
Interpolation Calculation Delay,30,
Controller Delay,30,
"Traj times","0.00, 100.00, 20000.00, 20100.00, 21000.00, ",""
"Traj pressures","0.00, 5.80, 5.80, 0.00, 0.00, ",""
time,pressure,error,integral,cycle_start
0,0.06,0,0,0
0.016,0.06,-0.06,-0.21,0
0.032,-0.13,1.74,-0.18,0
0.048,-0.13,1.74,-0.18,0
0.064,1.34,1.93,-0.13,0
0.08,3.9,1.93,-0.13,0
0.096,5.19,-0.31,-0.11,0
0.112,2.62,-0.31,-0.11,0
0.128,2.8,2.77,-0.07,0
0.144,2.8,2.77,-0.07,0
0.16,3.72,3,0.02,0
0.176,5.19,3,0.02,0
0.192,6.65,0.61,0.07,0
0.208,7.39,0.61,0.07,0
0.224,5.55,-1.59,0.06,0
0.24,6.1,-1.59,0.06,0
0.256,5.74,-0.3,0.03,0
0.272,5.55,0.06,0.03,0
0.288,5.55,0.06,0.03,0
0.304,5.55,0.25,0.03,0
0.32,5.55,0.25,0.03,0
0.336,5.55,0.25,0.04,0
0.352,5.55,0.25,0.04,0
0.368,5.74,0.25,0.05,0
0.384,5.74,0.25,0.05,0
0.4,5.74,0.06,0.05,0
0.416,5.74,0.06,0.05,0
0.432,5.74,0.06,0.05,0
0.448,5.74,0.06,0.05,0
0.464,5.74,0.06,0.05,0
0.48,5.74,0.06,0.05,0
0.496,5.74,0.06,0.06,0
0.512,5.55,0.06,0.06,0
0.528,5.55,0.06,0.06,0
0.544,5.55,0.25,0.06,0
0.56,5.55,0.25,0.06,0
0.576,5.55,0.25,0.07,0
0.592,5.55,0.25,0.07,0
0.608,5.55,0.25,0.08,0
0.624,5.55,0.25,0.08,0
0.64,5.55,0.25,0.08,0
0.656,5.55,0.25,0.08,0
0.672,5.74,0.25,0.09,0
0.688,5.74,0.25,0.09,0
0.704,5.74,0.06,0.1,0
0.72,5.74,0.06,0.1,0
0.736,5.74,0.06,0.1,0
0.752,5.74,0.06,0.1,0
0.768,5.74,0.06,0.1,0
0.784,5.74,0.06,0.1,0
0.8,5.55,0.06,0.1,0
0.816,5.55,0.25,0.11,0
0.832,5.55,0.25,0.11,0
0.848,5.55,0.25,0.11,0
0.864,5.55,0.25,0.11,0
0.88,5.55,0.25,0.12,0
0.896,5.55,0.25,0.12,0
0.912,5.55,0.25,0.13,0
0.928,5.55,0.25,0.13,0
0.944,5.74,0.25,0.14,0
0.96,5.74,0.25,0.14,0
0.976,5.74,0.06,0.14,0
0.992,5.74,0.06,0.14,0
1.008,5.74,0.06,0.14,0
1.024,5.74,0.06,0.14,0
1.04,5.74,0.06,0.14,0
1.056,5.74,0.06,0.15,0
1.072,5.74,0.06,0.15,0
1.088,5.74,0.06,0.15,0
1.104,5.74,0.06,0.15,0
1.12,5.55,0.06,0.15,0
1.136,5.55,0.06,0.15,0
1.152,5.55,0.25,0.16,0
1.168,5.74,0.25,0.16,0
1.184,5.55,0.06,0.16,0
1.2,5.55,0.06,0.16,0
1.216,5.55,0.25,0.16,0
1.232,5.74,0.25,0.16,0
1.248,5.74,0.06,0.17,0
1.264,5.74,0.06,0.17,0
1.28,5.74,0.06,0.17,0
1.296,5.74,0.06,0.17,0
1.312,5.74,0.06,0.17,0
1.328,5.74,0.06,0.17,0
1.344,5.74,0.06,0.17,0
1.36,5.74,0.06,0.18,0
1.376,5.74,0.06,0.18,0
1.392,5.74,0.06,0.18,0
1.408,5.74,0.06,0.18,0
1.424,5.55,0.06,0.18,0
1.44,5.55,0.06,0.18,0
1.456,5.55,0.25,0.19,0
1.472,5.74,0.25,0.19,0
1.488,5.55,0.06,0.19,0
1.504,5.74,0.25,0.19,0
1.52,5.74,0.25,0.19,0
1.536,5.74,0.06,0.2,0
1.552,5.74,0.06,0.2,0
1.568,5.74,0.06,0.2,0
1.584,5.74,0.06,0.2,0
1.6,5.74,0.06,0.2,0
1.616,5.74,0.06,0.2,0
1.632,5.74,0.06,0.2,0
1.648,5.74,0.06,0.2,0
1.664,5.74,0.06,0.21,0
1.68,5.55,0.06,0.21,0
1.696,5.55,0.25,0.21,0
1.712,5.55,0.25,0.21,0
1.728,5.55,0.25,0.22,0
1.744,5.55,0.25,0.22,0
1.76,5.74,0.25,0.23,0
1.776,5.74,0.06,0.23,0
1.792,5.74,0.06,0.23,0
1.808,5.74,0.06,0.23,0
1.824,5.74,0.06,0.23,0
1.84,5.74,0.06,0.23,0
1.856,5.74,0.06,0.23,0
1.872,5.74,0.06,0.24,0
1.888,5.74,0.06,0.24,0
1.904,5.74,0.06,0.24,0
1.92,5.74,0.06,0.24,0
1.936,5.74,0.06,0.24,0
1.952,5.74,0.06,0.24,0
1.968,5.74,0.06,0.24,0
1.984,5.74,0.06,0.24,0
2,5.55,0.06,0.24,0
2.016,5.55,0.25,0.25,0
2.032,5.74,0.25,0.25,0
2.048,5.74,0.06,0.25,0
2.064,5.74,0.06,0.25,0
2.08,5.74,0.06,0.26,0
2.096,5.74,0.06,0.26,0
2.112,5.74,0.06,0.26,0
2.128,5.74,0.06,0.26,0
2.144,5.74,0.06,0.26,0
2.16,5.74,0.06,0.26,0
2.176,5.74,0.06,0.26,0
2.192,5.74,0.06,0.26,0
2.208,5.74,0.06,0.26,0
2.224,5.74,0.06,0.26,0
2.24,5.74,0.06,0.26,0
2.256,5.74,0.06,0.26,0
2.272,5.74,0.06,0.27,0
2.288,5.74,0.06,0.27,0
2.304,5.74,0.06,0.27,0
2.32,5.74,0.06,0.27,0
2.336,5.74,0.06,0.27,0
2.352,5.74,0.06,0.27,0
2.368,5.74,0.06,0.27,0
2.384,5.74,0.06,0.27,0
2.4,5.74,0.06,0.27,0
2.416,5.74,0.06,0.28,0
2.432,5.74,0.06,0.28,0
2.448,5.74,0.06,0.28,0
2.464,5.74,0.06,0.28,0
2.48,5.74,0.06,0.28,0
2.496,5.74,0.06,0.28,0
2.512,5.74,0.06,0.28,0
2.528,5.74,0.06,0.28,0
2.544,5.74,0.06,0.28,0
2.56,5.74,0.06,0.29,0
2.576,5.74,0.06,0.29,0
2.592,5.74,0.06,0.29,0
2.608,5.74,0.06,0.29,0
2.624,5.74,0.06,0.29,0
2.64,5.74,0.06,0.29,0
2.656,5.74,0.06,0.29,0
2.672,5.74,0.06,0.29,0
2.688,5.74,0.06,0.29,0
2.704,5.74,0.06,0.29,0
2.72,5.74,0.06,0.3,0
2.736,5.74,0.06,0.3,0
2.752,5.74,0.06,0.3,0
2.768,5.74,0.06,0.3,0
2.784,5.74,0.06,0.3,0
2.8,5.74,0.06,0.3,0
2.816,5.55,0.06,0.3,0
2.832,5.74,0.25,0.31,0
2.848,5.74,0.25,0.31,0
2.864,5.74,0.06,0.31,0
2.88,5.74,0.06,0.31,0
2.896,5.74,0.06,0.31,0
2.912,5.74,0.06,0.31,0
2.928,5.74,0.06,0.31,0
2.944,5.74,0.06,0.31,0
2.96,5.74,0.06,0.32,0
2.976,5.74,0.06,0.32,0
2.992,5.74,0.06,0.32,0
3.008,5.74,0.06,0.32,0
3.024,5.74,0.06,0.32,0
3.04,5.74,0.06,0.32,0
3.056,5.74,0.06,0.32,0
3.072,5.74,0.06,0.32,0
3.088,5.74,0.06,0.32,0
3.104,5.74,0.06,0.33,0
3.12,5.74,0.06,0.33,0
3.136,5.55,0.06,0.33,0
3.152,5.55,0.06,0.33,0
3.168,5.74,0.25,0.33,0
3.184,5.74,0.25,0.33,0
3.2,5.74,0.06,0.34,0
3.216,5.74,0.06,0.34,0
3.232,5.74,0.06,0.34,0
3.248,5.74,0.06,0.34,0
3.264,5.74,0.06,0.34,0
3.28,5.74,0.06,0.34,0
3.296,5.74,0.06,0.34,0
3.312,5.74,0.06,0.34,0
3.328,5.74,0.06,0.34,0
3.344,5.74,0.06,0.35,0
3.36,5.74,0.06,0.35,0
3.376,5.74,0.06,0.35,0
3.392,5.74,0.06,0.35,0
3.408,5.74,0.06,0.35,0
3.424,5.74,0.06,0.35,0
3.44,5.74,0.06,0.35,0
3.456,5.74,0.06,0.35,0
3.472,5.55,0.06,0.35,0
3.488,5.74,0.06,0.35,0
3.504,5.74,0.06,0.36,0
3.52,5.74,0.06,0.36,0
3.536,5.55,0.06,0.36,0
3.552,5.74,0.25,0.36,0
3.568,5.74,0.25,0.36,0
3.584,5.74,0.06,0.37,0
3.6,5.74,0.06,0.37,0
3.616,5.55,0.06,0.37,0
3.632,5.55,0.06,0.37,0
3.648,5.55,0.25,0.37,0
3.664,5.55,0.25,0.37,0
3.68,5.55,0.25,0.38,0
3.696,5.55,0.25,0.38,0
3.712,5.55,0.25,0.39,0
3.728,5.74,0.25,0.39,0
3.744,5.74,0.06,0.39,0
3.76,5.55,0.06,0.39,0
3.776,5.74,0.25,0.4,0
3.792,5.74,0.25,0.4,0
3.808,5.55,0.06,0.4,0
3.824,5.74,0.25,0.41,0
3.84,5.55,0.25,0.41,0
3.856,5.55,0.25,0.41,0
3.872,5.74,0.25,0.41,0
3.888,5.74,0.06,0.42,0
3.904,5.74,0.06,0.42,0
3.92,5.55,0.06,0.42,0
3.936,5.55,0.06,0.42,0
3.952,5.74,0.25,0.43,0
3.968,5.55,0.25,0.43,0
3.984,5.55,0.25,0.43,0
4,5.74,0.25,0.43,0
4.016,5.74,0.06,0.44,0
4.032,5.74,0.06,0.44,0
4.048,5.74,0.06,0.44,0
4.064,5.74,0.06,0.44,0
4.08,5.74,0.06,0.44,0
4.096,5.55,0.06,0.44,0
4.112,5.74,0.06,0.44,0
4.128,5.74,0.06,0.45,0
4.144,5.74,0.06,0.45,0
4.16,5.74,0.06,0.45,0
4.176,5.55,0.06,0.45,0
4.192,5.55,0.25,0.45,0
4.208,5.55,0.25,0.45,0
4.224,5.55,0.25,0.46,0
4.24,5.55,0.25,0.46,0
4.256,5.74,0.25,0.47,0
4.272,5.55,0.25,0.47,0
4.288,5.55,0.25,0.47,0
4.304,5.55,0.25,0.48,0
4.32,5.55,0.25,0.48,0
4.336,5.55,0.25,0.49,0
4.352,5.55,0.25,0.49,0
4.368,5.74,0.25,0.5,0
4.384,5.74,0.25,0.5,0
4.4,5.55,0.06,0.5,0
4.416,5.74,0.06,0.5,0
4.432,5.74,0.06,0.5,0
4.448,5.74,0.06,0.5,0
4.464,5.74,0.06,0.5,0
4.48,5.55,0.06,0.5,0
4.496,5.74,0.25,0.51,0
4.512,5.55,0.25,0.51,0
4.528,5.55,0.25,0.52,0
