Settings:
filename,251023_cycle_5.csv
Use KPA?,0
KP,0.72000
KI,3.38000
KD,0.00000
Traj Follow Error Threshold,4.35
Filter alpha,0.00000
Sensor offset,0.11000
Pressure Read Delay,30.00
Interpolation Calculation Delay,30
Controller Delay,30
Traj times,0.00,100.00,1500.00,1600.00,3000.00
Traj pressures,0.00,8.70,8.70,0.00,0.00
Data:
time,pressure,error,integral,cycle_start
0,0.06,0.00,0.00,0
31,-0.13,-0.06,-0.65,0
62,0.06,2.83,-0.61,0
93,-0.13,5.34,-0.48,0
124,2.99,8.22,-0.27,0
155,4.45,5.71,-0.06,0
186,5.55,4.25,0.12,0
217,6.47,3.15,0.23,0
248,7.20,2.23,0.31,0
279,7.57,1.50,0.36,0
310,8.30,1.13,0.40,0
341,8.67,0.40,0.43,0
372,9.04,0.03,0.43,0
403,9.22,-0.34,0.43,0
434,9.59,-0.52,0.42,0
465,9.77,-0.89,0.39,0
496,9.95,-1.07,0.36,0
527,10.14,-1.25,0.33,0
558,10.32,-1.44,0.29,0
589,10.14,-1.62,0.24,0
620,9.95,-1.44,0.19,0
651,9.95,-1.25,0.15,0
682,9.95,-1.25,0.11,0
713,9.95,-1.25,0.07,0
744,9.95,-1.25,0.03,0
775,8.67,-1.25,-0.00,0
806,6.65,0.03,-0.02,0
837,8.30,2.05,0.01,0
869,8.49,0.40,0.05,0
900,8.67,0.21,0.06,0
931,8.49,0.03,0.06,0
962,8.49,0.21,0.07,0
993,8.49,0.21,0.07,0
1024,8.67,0.21,0.08,0
1055,8.67,0.03,0.08,0
1086,8.85,0.03,0.09,0
1117,8.85,-0.15,0.08,0
1148,8.67,-0.15,0.08,0
1179,8.67,0.03,0.08,0
1210,8.67,0.03,0.08,0
1241,8.85,0.03,0.08,0
1272,8.85,-0.15,0.08,0
1303,8.85,-0.15,0.07,0
1334,8.85,-0.15,0.07,0
1365,8.85,-0.15,0.06,0
1396,8.85,-0.15,0.06,0
1427,9.04,-0.15,0.05,0
1458,9.04,-0.34,0.05,0
1489,9.04,-0.34,0.04,0
1520,8.85,-0.34,0.02,0
1551,8.85,-1.89,-0.01,0
1582,6.10,-4.59,-0.11,0
1613,5.00,-4.54,-0.25,0
1644,4.09,-5.00,-0.39,0
1675,3.17,-4.09,-0.53,0
1706,2.25,-3.17,-0.64,0
1737,1.52,-2.25,-0.73,0
1768,0.97,-1.52,-0.79,0
1799,0.42,-0.97,-0.82,0
1830,0.24,-0.42,-0.85,0
1861,0.06,-0.24,-0.86,0
1893,0.06,-0.06,-0.86,0
1924,0.06,-0.06,-0.86,0
1955,0.06,-0.06,-0.86,0
1986,-0.13,-0.06,-0.87,0
2017,-0.13,0.13,-0.87,0
2048,0.06,0.13,-0.86,0
2079,0.06,-0.06,-0.86,0
2110,-0.13,-0.06,-0.86,0
2141,0.06,0.13,-0.86,0
2172,0.06,-0.06,-0.86,0
2203,0.06,-0.06,-0.86,0
2234,-0.13,-0.06,-0.86,0
2265,-0.13,0.13,-0.86,0
2296,0.06,0.13,-0.86,0
2327,-0.13,-0.06,-0.86,0
2358,-0.13,0.13,-0.86,0
2389,0.06,0.13,-0.85,0
2420,0.06,-0.06,-0.85,0
2451,0.06,-0.06,-0.85,0
2482,0.06,-0.06,-0.85,0
2513,0.06,-0.06,-0.86,0
2544,0.06,-0.06,-0.86,0
2575,0.06,-0.06,-0.86,0
2606,0.06,-0.06,-0.86,0
2637,0.06,-0.06,-0.86,0
2668,0.06,-0.06,-0.86,0
2699,0.06,-0.06,-0.87,0
2730,0.06,-0.06,-0.87,0
2761,0.06,-0.06,-0.87,0
2792,0.06,-0.06,-0.87,0
2823,0.06,-0.06,-0.87,0
2854,0.06,-0.06,-0.87,0
2885,0.06,-0.06,-0.88,0
2917,0.06,-0.06,-0.88,0
2948,0.06,-0.06,-0.88,0
2979,0.06,-0.06,-0.88,0
3010,0.06,-0.06,-0.88,0
3012,0.06,0.00,0.00,1
3070,-0.13,0.00,0.00,0
3101,-0.13,1.00,0.01,0
3132,1.89,3.70,0.09,0
3163,3.54,4.38,0.21,0
3194,5.00,5.16,0.35,0
3225,6.10,3.70,0.48,0
3256,6.65,2.60,0.58,0
3287,7.39,2.05,0.65,0
3318,7.94,1.31,0.70,0
3349,8.49,0.76,0.73,0
3380,8.85,0.21,0.74,0
3411,9.22,-0.15,0.74,0
3442,9.40,-0.52,0.73,0
3473,9.59,-0.70,0.72,0
3504,9.77,-0.89,0.69,0
3535,10.14,-1.07,0.66,0
3566,10.32,-1.44,0.62,0
3597,10.69,-1.62,0.58,0
3628,10.69,-1.99,0.52,0
3659,10.69,-1.99,0.46,0
3690,10.87,-1.99,0.40,0
3721,10.69,-2.17,0.34,0
3752,10.69,-1.99,0.27,0
3783,10.50,-1.99,0.21,0
3814,9.59,-1.80,0.15,0
3845,9.40,-0.89,0.11,0
3876,9.77,-0.70,0.09,0
3907,9.59,-1.07,0.06,0
3938,9.59,-0.89,0.03,0
3969,9.22,-0.89,-0.00,0
4000,9.22,-0.52,-0.02,0
4031,9.22,-0.52,-0.04,0
4062,9.22,-0.52,-0.05,0
4093,9.22,-0.52,-0.07,0
4124,8.85,-0.52,-0.09,0
4155,8.67,-0.15,-0.10,0
4186,8.85,0.03,-0.10,0
4217,8.85,-0.15,-0.10,0
4248,8.67,-0.15,-0.11,0
4279,8.67,0.03,-0.11,0
4310,8.67,0.03,-0.11,0
4341,8.67,0.03,-0.11,0
4372,8.67,0.03,-0.10,0
4403,8.67,0.03,-0.10,0
4434,8.67,0.03,-0.10,0
4465,8.67,0.03,-0.10,0
4496,8.49,0.03,-0.10,0
4527,8.49,0.21,-0.10,0
4558,8.49,0.21,-0.09,0
4589,8.49,0.21,-0.08,0
4620,6.47,-2.31,-0.12,0
4651,5.37,-2.99,-0.20,0
4682,4.27,-4.59,-0.31,0
4713,3.35,-4.27,-0.45,0
4744,2.44,-3.35,-0.57,0
4775,1.70,-2.44,-0.66,0
4806,1.15,-1.70,-0.77,0
4837,0.60,-1.15,-0.81,0
4868,0.24,-0.60,-0.84,0
4899,0.06,-0.24,-0.85,0
4930,0.06,-0.06,-0.86,0
4961,0.06,-0.06,-0.86,0
4992,0.06,-0.06,-0.86,0
5023,0.06,-0.06,-0.86,0
5054,0.06,-0.06,-0.86,0
5085,0.06,-0.06,-0.87,0
5116,0.06,-0.06,-0.87,0
5147,0.06,-0.06,-0.87,0
5178,0.06,-0.06,-0.87,0
5209,0.06,-0.06,-0.87,0
5240,0.06,-0.06,-0.87,0
5271,0.06,-0.06,-0.88,0
5302,0.06,-0.06,-0.88,0
5333,0.06,-0.06,-0.88,0
5364,0.06,-0.06,-0.88,0
5395,0.06,-0.06,-0.88,0
5426,0.06,-0.06,-0.88,0
5457,0.06,-0.06,-0.89,0
5488,0.06,-0.06,-0.89,0
5519,0.06,-0.06,-0.89,0
5550,0.06,-0.06,-0.89,0
5581,0.06,-0.06,-0.89,0
5612,0.06,-0.06,-0.89,0
5643,0.06,-0.06,-0.90,0
5674,0.06,-0.06,-0.90,0
5705,0.06,-0.06,-0.90,0
5736,0.06,-0.06,-0.90,0
5767,0.06,-0.06,-0.90,0
5798,0.06,-0.06,-0.90,0
5829,0.06,-0.06,-0.91,0
5861,0.06,-0.06,-0.91,0
5892,0.06,-0.06,-0.91,0
5923,0.06,-0.06,-0.91,0
5954,0.06,-0.06,-0.91,0
5985,0.06,-0.06,-0.92,0
6016,0.06,-0.06,-0.92,0
6047,0.06,-0.06,-0.92,0
6078,0.06,-0.06,-0.92,0
6080,0.06,0.00,0.00,1
6138,0.06,0.00,0.00,0
6169,0.06,0.81,0.01,0
6200,1.52,3.51,0.08,0
6231,3.35,4.74,0.20,0
6262,4.82,5.35,0.35,0
6293,5.92,3.88,0.49,0
6324,6.65,2.78,0.59,0
6355,7.20,2.05,0.66,0
6386,7.75,1.50,0.72,0
6417,8.30,0.95,0.75,0
6448,8.85,0.40,0.77,0
6479,9.22,-0.15,0.78,0
6510,9.40,-0.52,0.77,0
6541,9.59,-0.70,0.75,0
6572,9.77,-0.89,0.72,0
6603,10.14,-1.07,0.70,0
6634,10.32,-1.44,0.66,0
6665,10.50,-1.62,0.61,0
6696,10.69,-1.80,0.56,0
6727,10.69,-1.99,0.49,0
6758,10.87,-1.99,0.43,0
6789,11.05,-2.17,0.37,0
6820,10.87,-2.35,0.30,0
6851,10.14,-2.17,0.23,0
6882,9.95,-1.44,0.18,0
6913,9.95,-1.25,0.14,0
6944,9.95,-1.25,0.10,0
6975,9.40,-1.25,0.06,0
7006,9.40,-0.70,0.03,0
7037,9.40,-0.70,0.01,0
7068,9.40,-0.70,-0.01,0
7099,9.22,-0.70,-0.04,0
7130,9.22,-0.52,-0.06,0
7161,9.04,-0.52,-0.07,0
7192,8.85,-0.34,-0.08,0
7223,8.85,-0.15,-0.09,0
7254,8.85,-0.15,-0.10,0
7285,8.85,-0.15,-0.10,0
7316,8.67,-0.15,-0.11,0
7347,8.85,0.03,-0.11,0
7378,8.67,-0.15,-0.11,0
7409,8.67,0.03,-0.11,0
7440,8.67,0.03,-0.11,0
7471,8.67,0.03,-0.11,0
7502,8.67,0.03,-0.11,0
7533,8.49,0.03,-0.11,0
7564,8.49,0.21,-0.10,0
7595,8.49,0.21,-0.10,0
7626,8.49,0.21,-0.09,0
7657,8.49,0.21,-0.09,0
7688,6.47,-2.31,-0.12,0
7719,5.37,-2.99,-0.20,0
7750,4.45,-4.59,-0.32,0
7781,3.54,-4.45,-0.46,0
7812,2.62,-3.54,-0.58,0
7843,1.89,-2.62,-0.68,0
7874,1.15,-1.89,-0.75,0
7905,0.60,-1.15,-0.79,0
7936,0.24,-0.60,-0.82,0
7967,0.06,-0.24,-0.83,0
7998,0.06,-0.06,-0.84,0
8029,0.06,-0.06,-0.84,0
8060,0.06,-0.06,-0.84,0
8091,0.06,-0.06,-0.84,0
8122,0.06,-0.06,-0.85,0
8153,0.06,-0.06,-0.85,0
8184,0.06,-0.06,-0.85,0
8215,0.06,-0.06,-0.85,0
8246,0.06,-0.06,-0.85,0
8277,0.06,-0.06,-0.85,0
8308,0.06,-0.06,-0.86,0
8339,0.06,-0.06,-0.86,0
8370,0.06,-0.06,-0.86,0
8401,0.06,-0.06,-0.86,0
8432,0.06,-0.06,-0.86,0
8463,0.06,-0.06,-0.86,0
8494,0.06,-0.06,-0.87,0
8525,0.06,-0.06,-0.87,0
8556,0.06,-0.06,-0.87,0
8587,0.06,-0.06,-0.87,0
8618,0.06,-0.06,-0.87,0
8649,0.06,-0.06,-0.87,0
8680,0.06,-0.06,-0.88,0
8711,0.06,-0.06,-0.88,0
8742,0.06,-0.06,-0.88,0
8773,0.06,-0.06,-0.88,0
8805,0.06,-0.06,-0.88,0
8836,0.06,-0.06,-0.88,0
8867,0.06,-0.06,-0.89,0
8898,0.06,-0.06,-0.89,0
8929,0.06,-0.06,-0.89,0
8960,0.06,-0.06,-0.89,0
8991,0.06,-0.06,-0.89,0
9022,0.06,-0.06,-0.89,0
9053,0.06,-0.06,-0.90,0
9084,0.06,-0.06,-0.90,0
9115,0.06,-0.06,-0.90,0
9146,0.06,-0.06,-0.90,0
9148,0.06,0.00,0.00,1
9206,0.06,0.00,0.00,0
9237,0.06,0.81,0.01,0
9268,1.52,3.51,0.08,0
9299,3.35,4.74,0.20,0
9330,4.82,5.35,0.35,0
9361,5.92,3.88,0.49,0
9392,6.65,2.78,0.59,0
9423,7.20,2.05,0.66,0
9454,7.75,1.50,0.72,0
9485,8.30,0.95,0.75,0
9516,8.67,0.40,0.77,0
9547,9.22,0.03,0.78,0
9578,9.40,-0.52,0.77,0
9609,9.40,-0.70,0.75,0
9640,9.77,-0.70,0.73,0
9671,9.95,-1.07,0.71,0
9702,10.32,-1.25,0.67,0
9733,10.50,-1.62,0.63,0
9764,10.50,-1.80,0.58,0
9795,10.69,-1.80,0.52,0
9826,10.87,-1.99,0.46,0
9857,11.05,-2.17,0.40,0
9888,10.87,-2.35,0.33,0
9919,10.32,-2.17,0.26,0
9950,10.50,-1.62,0.19,0
9981,9.59,-1.80,0.14,0
10012,7.39,-0.89,0.10,0
10043,8.67,1.31,0.11,0
10074,8.85,0.03,0.13,0
10105,8.85,-0.15,0.12,0
10136,8.85,-0.15,0.12,0
10167,8.85,-0.15,0.12,0
10198,8.85,-0.15,0.11,0
10229,9.04,-0.15,0.11,0
10260,9.04,-0.34,0.10,0
10291,9.04,-0.34,0.09,0
10322,9.04,-0.34,0.08,0
10353,8.85,-0.34,0.07,0
10384,9.04,-0.15,0.06,0
10415,9.04,-0.34,0.05,0
10446,9.04,-0.34,0.04,0
10477,9.04,-0.34,0.03,0
10508,9.04,-0.34,0.02,0
10539,9.04,-0.34,0.01,0
10570,9.04,-0.34,-0.00,0
10601,9.04,-0.34,-0.01,0
10632,9.04,-0.34,-0.02,0
10663,9.04,-0.34,-0.03,0
10694,8.85,-0.34,-0.04,0
10725,8.85,-0.15,-0.05,0
10756,7.20,-2.68,-0.09,0
10787,5.92,-3.72,-0.19,0
10818,5.00,-5.14,-0.33,0
10849,4.09,-5.00,-0.49,0
10880,2.99,-4.09,-0.63,0
10911,2.25,-2.99,-0.74,0
10942,1.52,-2.25,-0.82,0
10973,0.79,-1.52,-0.88,0
11004,0.42,-0.79,-0.91,0
11035,0.06,-0.42,-0.93,0
11066,0.06,-0.06,-0.94,0
11097,0.06,-0.06,-0.94,0
11128,0.06,-0.06,-0.94,0
11159,0.06,-0.06,-0.94,0
11190,0.06,-0.06,-0.95,0
11221,0.06,-0.06,-0.95,0
11252,0.06,-0.06,-0.95,0
11283,-0.13,-0.06,-0.95,0
11314,-0.13,0.13,-0.95,0
11345,0.06,0.13,-0.95,0
11376,0.06,-0.06,-0.95,0
11407,0.06,-0.06,-0.95,0
11438,0.06,-0.06,-0.95,0
11469,0.06,-0.06,-0.95,0
11500,0.06,-0.06,-0.95,0
11531,0.06,-0.06,-0.95,0
11562,0.06,-0.06,-0.96,0
11593,0.06,-0.06,-0.96,0
11624,0.06,-0.06,-0.96,0
11655,0.06,-0.06,-0.96,0
11686,0.06,-0.06,-0.96,0
11717,0.06,-0.06,-0.96,0
11749,0.06,-0.06,-0.97,0
11780,0.06,-0.06,-0.97,0
11811,0.06,-0.06,-0.97,0
11842,0.06,-0.06,-0.97,0
11873,0.06,-0.06,-0.97,0
11904,0.06,-0.06,-0.97,0
11935,0.06,-0.06,-0.98,0
11966,0.06,-0.06,-0.98,0
11997,0.06,-0.06,-0.98,0
12028,0.06,-0.06,-0.98,0
12059,0.06,-0.06,-0.98,0
12090,0.06,-0.06,-0.98,0
12121,0.06,-0.06,-0.99,0
12152,0.06,-0.06,-0.99,0
12183,0.06,-0.06,-0.99,0
12214,0.06,-0.06,-0.99,0
12216,0.06,0.00,0.00,1
12275,0.06,0.00,0.00,0
12306,0.06,0.81,0.01,0
12337,1.52,3.51,0.08,0
12368,3.35,4.74,0.20,0
12399,4.82,5.35,0.35,0
12431,5.92,3.88,0.49,0
12462,6.65,2.78,0.59,0
12493,7.20,2.05,0.66,0
12524,7.75,1.50,0.72,0
12555,8.30,0.95,0.75,0
12586,8.85,0.40,0.77,0
12617,9.22,-0.15,0.78,0
12648,9.40,-0.52,0.77,0
12679,9.59,-0.70,0.75,0
12710,9.77,-0.89,0.72,0
12741,9.95,-1.07,0.70,0
12773,10.32,-1.25,0.66,0
12804,10.50,-1.62,0.62,0
12835,10.50,-1.80,0.56,0
12866,10.69,-1.80,0.51,0
12897,10.87,-1.99,0.45,0
12928,11.05,-2.17,0.38,0
12959,10.87,-2.35,0.31,0
12990,10.32,-2.17,0.24,0
13021,10.32,-1.62,0.18,0
13052,9.95,-1.62,0.13,0
13083,9.59,-1.25,0.09,0
13114,9.59,-0.89,0.05,0
13145,9.59,-0.89,0.03,0
13176,9.40,-0.89,0.00,0
13207,9.22,-0.70,-0.02,0
13238,9.40,-0.52,-0.04,0
13269,9.04,-0.70,-0.06,0
13300,9.04,-0.34,-0.08,0
13331,9.04,-0.34,-0.09,0
13362,8.85,-0.34,-0.10,0
13393,8.85,-0.15,-0.11,0
13424,8.85,-0.15,-0.11,0
13455,8.85,-0.15,-0.12,0
13486,8.85,-0.15,-0.12,0
13517,8.67,-0.15,-0.13,0
13548,8.67,0.03,-0.13,0
13579,8.67,0.03,-0.13,0
13610,8.67,0.03,-0.13,0
13641,8.67,0.03,-0.12,0
13672,8.67,0.03,-0.12,0
13703,8.49,0.03,-0.12,0
13734,8.49,0.21,-0.12,0
13765,8.49,0.21,-0.11,0
13797,8.49,0.21,-0.11,0
13828,6.47,-2.57,-0.14,0
13859,5.37,-3.25,-0.23,0
13890,4.45,-4.85,-0.36,0
13921,3.54,-4.45,-0.50,0
13952,2.62,-3.54,-0.63,0
13983,1.89,-2.62,-0.72,0
14014,1.15,-1.89,-0.79,0
14045,0.60,-1.15,-0.84,0
14076,0.24,-0.60,-0.87,0
14107,0.06,-0.24,-0.88,0
14138,0.06,-0.06,-0.88,0
14169,0.06,-0.06,-0.89,0
14200,0.06,-0.06,-0.89,0
14231,0.06,-0.06,-0.89,0
14262,0.06,-0.06,-0.89,0
14293,0.06,-0.06,-0.89,0
14324,0.06,-0.06,-0.89,0
14355,0.06,-0.06,-0.90,0
14386,0.06,-0.06,-0.90,0
14417,0.06,-0.06,-0.90,0
14448,0.06,-0.06,-0.90,0
14479,0.06,-0.06,-0.90,0
14510,-0.13,-0.06,-0.90,0
14541,0.06,0.13,-0.90,0
14572,-0.13,-0.06,-0.90,0
14603,0.06,0.13,-0.90,0
14634,-0.13,-0.06,-0.90,0
14665,-0.13,0.13,-0.90,0
14696,0.06,0.13,-0.89,0
14727,0.06,-0.06,-0.89,0
14758,0.06,-0.06,-0.89,0
14789,0.06,-0.06,-0.90,0
14821,0.06,-0.06,-0.90,0
14852,0.06,-0.06,-0.90,0
14883,0.06,-0.06,-0.90,0
14914,0.06,-0.06,-0.90,0
14945,0.06,-0.06,-0.91,0
14976,0.06,-0.06,-0.91,0
15007,0.06,-0.06,-0.91,0
15038,0.06,-0.06,-0.91,0
15069,0.06,-0.06,-0.91,0
15100,0.06,-0.06,-0.91,0
15131,0.06,-0.06,-0.92,0
15162,0.06,-0.06,-0.92,0
15193,0.06,-0.06,-0.92,0
15224,0.06,-0.06,-0.92,0
15255,0.06,-0.06,-0.92,0
15286,0.06,-0.06,-0.92,0
15288,0.06,0.00,0.00,1
15347,-0.13,0.00,0.00,0
15378,-0.13,1.00,0.01,0
15409,1.89,3.70,0.09,0
15440,3.54,4.38,0.21,0
15471,5.00,5.16,0.35,0
15503,5.92,3.70,0.48,0
15534,6.65,2.78,0.58,0
15565,7.39,2.05,0.65,0
15596,7.75,1.31,0.70,0
15627,8.30,0.95,0.74,0
15658,8.85,0.40,0.76,0
15689,9.22,-0.15,0.76,0
15720,9.40,-0.52,0.75,0
15751,9.59,-0.70,0.73,0
15782,9.77,-0.89,0.71,0
15813,9.95,-1.07,0.68,0
15845,10.32,-1.25,0.65,0
15876,10.50,-1.62,0.60,0
15907,10.69,-1.80,0.55,0
15938,10.69,-1.99,0.49,0
15969,10.87,-1.99,0.43,0
16000,11.05,-2.17,0.36,0
16031,10.87,-2.35,0.29,0
16062,9.40,-2.17,0.22,0
16093,10.50,-0.70,0.18,0
16124,9.95,-1.80,0.14,0
16155,10.14,-1.25,0.09,0
16186,9.04,-1.44,0.05,0
16217,6.65,-0.34,0.02,0
16248,7.39,2.05,0.05,0
16279,8.85,1.31,0.10,0
16310,9.22,-0.15,0.11,0
16341,9.22,-0.52,0.10,0
16372,9.04,-0.52,0.09,0
16403,8.85,-0.34,0.07,0
16434,9.04,-0.15,0.07,0
16465,9.22,-0.34,0.06,0
16496,9.22,-0.52,0.04,0
16527,9.04,-0.52,0.03,0
16558,9.04,-0.34,0.02,0
16589,8.85,-0.34,0.01,0
16620,9.04,-0.15,-0.00,0
16651,9.04,-0.34,-0.01,0
16682,9.04,-0.34,-0.02,0
16713,9.04,-0.34,-0.03,0
16744,8.85,-0.34,-0.04,0
16775,8.85,-0.15,-0.05,0
16806,9.04,-0.15,-0.05,0
16837,9.04,-0.34,-0.06,0
16869,9.04,-0.34,-0.07,0
16900,6.84,-3.12,-0.13,0
16931,5.74,-3.62,-0.23,0
16962,4.82,-5.21,-0.37,0
16993,3.90,-4.82,-0.52,0
17024,2.99,-3.90,-0.66,0
17055,2.25,-2.99,-0.76,0
17086,1.52,-2.25,-0.85,0
17117,0.79,-1.52,-0.90,0
17148,0.42,-0.79,-0.94,0
17179,0.06,-0.42,-0.96,0
17210,0.06,-0.06,-0.97,0
17241,0.06,-0.06,-0.97,0
17272,0.06,-0.06,-0.97,0
17303,0.06,-0.06,-0.97,0
17334,0.06,-0.06,-0.97,0
17365,-0.13,-0.06,-0.97,0
17396,0.06,0.13,-0.97,0
17427,0.06,-0.06,-0.97,0
17458,0.06,-0.06,-0.97,0
17489,0.06,-0.06,-0.98,0
17520,0.06,-0.06,-0.98,0
17551,0.06,-0.06,-0.98,0
17582,0.06,-0.06,-0.98,0
17613,-0.13,-0.06,-0.98,0
17644,0.06,0.13,-0.98,0
17675,0.06,-0.06,-0.98,0
17706,0.06,-0.06,-0.98,0
17737,0.06,-0.06,-0.98,0
17768,0.06,-0.06,-0.98,0
17799,0.06,-0.06,-0.99,0
17830,0.06,-0.06,-0.99,0
17861,0.06,-0.06,-0.99,0
17893,0.06,-0.06,-0.99,0
17924,0.06,-0.06,-0.99,0
17955,0.06,-0.06,-1.00,0
17986,0.06,-0.06,-1.00,0
18017,0.06,-0.06,-1.00,0
18048,0.06,-0.06,-1.00,0
18079,0.06,-0.06,-1.00,0
18110,0.06,-0.06,-1.00,0
18141,0.06,-0.06,-1.01,0
18172,0.06,-0.06,-1.01,0
18203,0.06,-0.06,-1.01,0
18234,-0.13,-0.06,-1.01,0
18265,0.06,0.13,-1.01,0
18296,0.06,-0.06,-1.01,0
18327,0.06,-0.06,-1.01,0
18358,-0.13,-0.06,-1.01,0
18360,-0.13,0.00,0.00,1
18437,-0.13,0.00,0.00,0
18468,0.60,2.56,0.04,0
18499,2.99,4.53,0.15,0
18530,4.64,4.84,0.29,0
18561,5.74,4.06,0.43,0
18592,6.47,2.96,0.54,0
18623,7.20,2.23,0.62,0
18654,7.75,1.50,0.68,0
18685,8.12,0.95,0.72,0
18716,8.67,0.58,0.74,0
18747,9.04,0.03,0.75,0
18778,9.22,-0.34,0.75,0
18809,9.40,-0.52,0.73,0
18840,9.77,-0.70,0.72,0
18871,9.95,-1.07,0.69,0
18902,10.14,-1.25,0.65,0
18933,10.32,-1.44,0.61,0
18964,10.69,-1.62,0.56,0
18995,10.69,-1.99,0.51,0
19026,10.87,-1.99,0.45,0
19057,10.87,-2.17,0.38,0
19088,10.87,-2.17,0.31,0
19119,10.14,-2.17,0.25,0
19150,10.69,-1.44,0.19,0
19181,7.94,-1.99,0.14,0
19212,9.59,0.76,0.12,0
19243,9.40,-0.89,0.12,0
19274,9.59,-0.70,0.09,0
19305,9.40,-0.89,0.07,0
19336,9.40,-0.70,0.04,0
19367,9.40,-0.70,0.02,0
19398,9.40,-0.70,0.00,0
19429,9.40,-0.70,-0.02,0
19460,9.40,-0.70,-0.04,0
19491,8.85,-0.70,-0.06,0
19522,9.04,-0.15,-0.08,0
19553,9.04,-0.34,-0.09,0
19584,9.04,-0.34,-0.10,0
19615,9.04,-0.34,-0.11,0
19646,8.85,-0.34,-0.12,0
19677,8.85,-0.15,-0.12,0
19708,8.67,-0.15,-0.13,0
19739,8.67,0.03,-0.13,0
19770,8.67,0.03,-0.13,0
19801,8.67,0.03,-0.13,0
19832,8.67,0.03,-0.13,0
19863,8.49,0.03,-0.13,0
19894,8.49,0.21,-0.12,0
19925,8.49,0.21,-0.12,0
19956,7.20,-1.18,-0.13,0
19987,5.55,-2.59,-0.19,0
20018,4.64,-3.64,-0.28,0
20049,3.72,-4.64,-0.40,0
20080,2.80,-3.72,-0.53,0
20111,2.07,-2.80,-0.63,0
20142,1.34,-2.07,-0.71,0
20173,0.79,-1.34,-0.76,0
20204,0.24,-0.79,-0.79,0
20235,0.06,-0.24,-0.81,0
20266,0.06,-0.06,-0.81,0
20297,0.06,-0.06,-0.81,0
20328,0.06,-0.06,-0.82,0
20359,0.06,-0.06,-0.82,0
20390,0.06,-0.06,-0.82,0
20421,0.06,-0.06,-0.82,0
20453,0.06,-0.06,-0.82,0
20484,0.06,-0.06,-0.83,0
20515,0.06,-0.06,-0.83,0
20546,0.06,-0.06,-0.83,0
20577,0.06,-0.06,-0.83,0
20608,0.06,-0.06,-0.83,0
20639,0.06,-0.06,-0.83,0
20670,0.06,-0.06,-0.84,0
20701,0.06,-0.06,-0.84,0
20732,0.06,-0.06,-0.84,0
20763,0.06,-0.06,-0.84,0
20794,0.06,-0.06,-0.84,0
20825,0.06,-0.06,-0.84,0
20856,0.06,-0.06,-0.85,0
20887,0.06,-0.06,-0.85,0
20918,0.06,-0.06,-0.85,0
20949,0.06,-0.06,-0.85,0
20980,0.06,-0.06,-0.85,0
21011,0.06,-0.06,-0.85,0
21042,0.06,-0.06,-0.86,0
21073,0.06,-0.06,-0.86,0
21104,0.06,-0.06,-0.86,0
21135,0.06,-0.06,-0.86,0
21166,0.06,-0.06,-0.86,0
21197,0.06,-0.06,-0.86,0
21228,0.06,-0.06,-0.87,0
21259,0.06,-0.06,-0.87,0
21290,0.06,-0.06,-0.87,0
21321,0.06,-0.06,-0.87,0
21352,0.06,-0.06,-0.87,0
21383,0.06,-0.06,-0.87,0
21414,0.06,-0.06,-0.88,0
21416,0.06,0.00,0.00,1
21474,0.06,0.00,0.00,0
21505,0.06,0.81,0.01,0
21536,1.34,3.51,0.08,0
21567,3.17,4.93,0.20,0
21598,4.82,5.53,0.36,0
21629,5.92,3.88,0.50,0
21660,6.65,2.78,0.60,0
21691,7.20,2.05,0.67,0
21722,7.75,1.50,0.73,0
21753,8.30,0.95,0.76,0
21784,8.67,0.40,0.78,0
21815,9.04,0.03,0.79,0
21846,9.40,-0.34,0.79,0
21877,9.40,-0.70,0.77,0
21908,9.59,-0.70,0.75,0
21939,9.95,-0.89,0.73,0
21970,10.32,-1.25,0.69,0
22001,10.50,-1.62,0.65,0
22032,10.50,-1.80,0.60,0
22063,10.69,-1.80,0.54,0
22094,10.87,-1.99,0.48,0
22125,11.05,-2.17,0.42,0
22156,10.87,-2.35,0.35,0
22187,10.69,-2.17,0.28,0
22218,10.50,-1.99,0.22,0
22249,9.04,-1.80,0.16,0
22280,10.14,-0.34,0.12,0
22311,9.59,-1.44,0.10,0
22342,9.77,-0.89,0.06,0
22373,9.59,-1.07,0.03,0
22404,9.40,-0.89,-0.00,0
22435,9.40,-0.70,-0.03,0
22466,9.40,-0.70,-0.05,0
22497,8.85,-0.70,-0.07,0
22528,9.04,-0.15,-0.08,0
22559,8.85,-0.34,-0.09,0
22590,8.85,-0.15,-0.10,0
22621,8.85,-0.15,-0.10,0
22652,8.85,-0.15,-0.11,0
22683,8.85,-0.15,-0.11,0
22714,8.67,-0.15,-0.12,0
22745,8.67,0.03,-0.12,0
22776,8.67,0.03,-0.12,0
22807,8.67,0.03,-0.12,0
22838,8.67,0.03,-0.12,0
22869,8.67,0.03,-0.12,0
22900,8.67,0.03,-0.11,0
22931,8.67,0.03,-0.11,0
22962,8.67,0.03,-0.11,0
22993,8.49,0.03,-0.11,0
23024,6.47,-2.31,-0.15,0
23055,5.55,-2.99,-0.23,0
23086,4.45,-4.77,-0.35,0
23117,3.54,-4.45,-0.48,0
23148,2.62,-3.54,-0.61,0
23179,1.89,-2.62,-0.70,0
23210,1.15,-1.89,-0.77,0
23241,0.79,-1.15,-0.82,0
