Settings:,,
Use KPA,0,
KP,1,
KI,0,
KD,0,
Traj Follow Error Pressure Threshold,4.35,
Traj Follow Error Time Threshold,1500,
Filter alpha,0,
Sensor offset,0.24,
Pressure Read Delay,30,
Interpolation Calculation Delay,30,
Controller Delay,30,
"Traj times","0.00, 1000.00, 1100.00, 8500.00, 8600.00, 16000.00, ",""
"Traj pressures","0.00, 0.00, 17.50, 17.50, 0.00, 0.00, ",""
time,pressure,error,integral,cycle_start
0,0,0,0,0
0.03,0,-0,-0.02,0
0.06,0,-0,-0.02,0
0.09,0,-0,-0.02,0
0.12,0,-0,-0.02,0
0.15,0,-0,-0.02,0
0.18,0,-0,-0.02,0
0.21,0,-0,-0.02,0
0.24,0,-0,-0.02,0
0.27,0,-0,-0.02,0
0.3,0.19,-0,-0.02,0
0.33,0,-0.19,-0.02,0
0.36,0,-0,-0.02,0
0.39,0,-0,-0.02,0
0.42,0,-0,-0.02,0
0.45,0,-0,-0.02,0
0.48,0,-0,-0.02,0
0.51,0,-0,-0.02,0
0.54,0,-0,-0.02,0
0.57,0,-0,-0.02,0
0.6,0,-0,-0.02,0
0.63,0,-0,-0.02,0
0.66,0,-0,-0.02,0
0.69,0,-0,-0.02,0
0.72,0,-0,-0.02,0
0.75,0,-0,-0.02,0
0.78,0,-0,-0.02,0
0.81,0,-0,-0.02,0
0.84,0,-0,-0.02,0
0.87,0,-0,-0.02,0
0.9,0,-0,-0.02,0
0.93,0,-0,-0.02,0
0.96,0,-0,-0.02,0
0.99,0,-0,-0.02,0
1.02,0,-0,-0.02,0
1.05,2.57,3.5,0.03,0
1.081,8.43,6.18,0.17,0
1.111,12.28,5.74,0.35,0
1.141,14.66,5.22,0.52,0
1.171,16.68,2.84,0.64,0
1.201,17.96,0.82,0.69,0
1.231,18.33,-0.46,0.7,0
1.261,17.96,-0.83,0.68,0
1.291,17.41,-0.46,0.66,0
1.321,17.05,0.09,0.65,0
1.351,17.05,0.45,0.66,0
1.381,17.05,0.45,0.68,0
1.411,17.05,0.45,0.69,0
1.441,17.05,0.45,0.7,0
1.471,16.86,0.45,0.72,0
1.501,17.23,0.64,0.73,0
1.531,17.23,0.27,0.75,0
1.561,17.23,0.27,0.75,0
1.591,17.05,0.27,0.76,0
1.621,17.05,0.45,0.77,0
1.651,17.05,0.45,0.79,0
1.681,17.23,0.45,0.8,0
1.711,17.23,0.27,0.81,0
1.741,17.05,0.27,0.82,0
1.771,17.05,0.45,0.83,0
1.801,17.05,0.45,0.84,0
1.831,17.05,0.45,0.86,0
1.861,17.05,0.45,0.87,0
1.892,17.05,0.45,0.88,0
1.922,17.05,0.45,0.9,0
1.952,17.05,0.45,0.91,0
1.982,17.05,0.45,0.93,0
2.012,17.05,0.45,0.94,0
2.042,17.05,0.45,0.95,0
2.072,17.05,0.45,0.97,0
2.102,17.05,0.45,0.98,0
2.132,17.23,0.45,0.99,0
2.162,17.23,0.27,1,0
2.192,17.05,0.27,1.01,0
2.222,17.05,0.45,1.02,0
2.252,17.05,0.45,1.04,0
2.282,17.23,0.45,1.05,0
2.312,17.23,0.27,1.06,0
2.342,17.23,0.27,1.07,0
2.372,17.05,0.27,1.08,0
2.402,17.05,0.45,1.09,0
2.432,17.05,0.45,1.1,0
2.462,17.05,0.45,1.12,0
2.492,17.05,0.45,1.13,0
2.522,17.05,0.45,1.14,0
2.552,17.05,0.45,1.16,0
2.582,17.23,0.45,1.17,0
2.612,17.23,0.27,1.18,0
2.642,17.05,0.27,1.19,0
2.672,17.05,0.45,1.2,0
2.702,17.05,0.45,1.21,0
2.732,17.05,0.45,1.23,0
2.762,17.05,0.45,1.24,0
2.792,17.05,0.45,1.25,0
2.822,17.23,0.45,1.27,0
2.852,17.23,0.27,1.28,0
2.882,17.23,0.27,1.29,0
2.912,17.23,0.27,1.29,0
2.942,17.05,0.27,1.3,0
2.972,17.05,0.45,1.31,0
3.002,17.05,0.45,1.33,0
3.032,17.23,0.45,1.34,0
3.062,17.05,0.27,1.35,0
3.092,17.05,0.45,1.36,0
3.122,17.05,0.45,1.38,0
3.152,17.23,0.45,1.39,0
3.182,17.05,0.27,1.4,0
3.212,17.05,0.45,1.41,0
3.242,17.05,0.45,1.42,0
3.272,17.05,0.45,1.44,0
3.302,17.23,0.45,1.45,0
3.332,17.05,0.27,1.46,0
3.362,17.23,0.45,1.47,0
3.392,17.23,0.27,1.48,0
3.422,17.23,0.27,1.49,0
3.452,17.23,0.27,1.5,0
3.482,17.23,0.27,1.51,0
3.513,17.05,0.27,1.52,0
3.543,17.05,0.45,1.53,0
3.573,17.05,0.45,1.54,0
